name,param,value,description,cohort_file
classified.administrative_segregation.housing,filter,"(custody_class.str.contains('AS', na=False)) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",Administrative Segregation Inmates (Off-Campus Housing),classified.administrative_segregation.housing
classified.all_classified.housing,filter,"(custody_class in ['MAX','CLHI','CHI','CLOS','CLO','CLLO','MED','MIN','MINIMUM','MIIN','SN','AS','PC','CS','AS/KS','SN/KS','SN/ KS','PC/KS','AK/KS','SK/KS','GP','PLACE GP']) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",All Classified Inmates (Off-Campus Housing),classified.all_classified.housing
classified.all_special_management.housing,filter,"(custody_class.str.contains('SN|AS|PC|CS|KS', na=False)) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",All Special Management Inmates (Off-Campus Housing),classified.all_special_management.housing
classified.close.housing,filter,"(custody_class in ['CLOS', 'CLO']) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",Close Custody Inmates (Off-Campus Housing),classified.close.housing
classified.close_hi.housing,filter,"(custody_class in ['CLHI', 'CHI']) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",Close Hi Inmates (Off-Campus Housing),classified.close_hi.housing
classified.close_low.housing,filter,"(custody_class in ['CLLO']) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",Close Low Inmates (Off-Campus Housing),classified.close_low.housing
classified.controlled_segregation.housing,filter,"(custody_class.str.contains('CS', na=False)) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",Controlled Segregation Inmates (Off-Campus Housing),classified.controlled_segregation.housing
classified.keep_separate.housing,filter,"(custody_class in ['AS/KS', 'SN/KS', 'SN/ KS', 'PC/KS', 'AK/KS', 'SK/KS']) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",Keep Separate Inmates (Off-Campus Housing),classified.keep_separate.housing
classified.maximum.housing,filter,"(custody_class in ['MAX']) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",Maximum Custody Inmates (Off-Campus Housing),classified.maximum.housing
classified.medium.housing,filter,"(custody_class in ['MED']) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",Medium Custody Inmates (Off-Campus Housing),classified.medium.housing
classified.minimum.housing,filter,"(custody_class in ['MIN', 'MINIMUM', 'MIIN']) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",Minimum Custody Inmates (Off-Campus Housing),classified.minimum.housing
classified.protective_classified.housing,filter,"(custody_class.str.contains('PC', na=False)) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",Protective Custody Inmates (Off-Campus Housing),classified.protective_classified.housing
classified.special_needs.housing,filter,"(custody_class.str.contains('SN', na=False)) and (housing in ['BRE','BRW','BSDC','CRC','CTRP','DCS','DET','FTR','H','LRC','NRH','OTH','RNC','STE','WASH','WVY'])",Special Needs Inmates (Off-Campus Housing),classified.special_needs.housing
