"name","param","value","description","cohort_file"
"med_center.all.inpatient","filter","hospital_name == ""RL ECUH MEDICAL CENTER HOSPITAL""","RL ECUH MEDICAL CENTER HOSPITAL - All inpatient encounters","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"med_center.all.service.lines.excl.neonate.and.ob","filter","hospital_name == ""RL ECUH MEDICAL CENTER HOSPITAL"" and service_line not in [""Pediatrics"", ""Neonatology"", ""NEWBORN"", ""Obstetrics/Gyn"", ""Obstetrics"", ""Gynecology"", ""Maternal-Fetal Med""]","RL ECUH MEDICAL CENTER HOSPITAL - All service lines excluding Neonate and OB","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"med_center.neonate.services","filter","hospital_name == ""RL ECUH MEDICAL CENTER HOSPITAL"" and service_line in [""Pediatrics"", ""Neonatology"", ""NEWBORN""]","RL ECUH MEDICAL CENTER HOSPITAL - Neonatal and pediatric-related services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"med_center.psychiatry","filter","hospital_name == ""RL ECUH MEDICAL CENTER HOSPITAL"" and service_line in [""Psychiatry""]","RL ECUH MEDICAL CENTER HOSPITAL - Psychiatry services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"chowan.all.inpatient","filter","hospital_name == ""RL ECUH CHOWAN HOSPITAL""","RL ECUH CHOWAN HOSPITAL - All inpatient encounters","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"chowan.all.service.lines.excl.neonate.and.ob","filter","hospital_name == ""RL ECUH CHOWAN HOSPITAL"" and service_line not in [""Pediatrics"", ""Neonatology"", ""NEWBORN"", ""Obstetrics/Gyn"", ""Obstetrics"", ""Gynecology"", ""Maternal-Fetal Med""]","RL ECUH CHOWAN HOSPITAL - All service lines excluding Neonate and OB","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"chowan.neonate.services","filter","hospital_name == ""RL ECUH CHOWAN HOSPITAL"" and service_line in [""Pediatrics"", ""Neonatology"", ""NEWBORN""]","RL ECUH CHOWAN HOSPITAL - Neonatal and pediatric-related services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"chowan.psychiatry","filter","hospital_name == ""RL ECUH CHOWAN HOSPITAL"" and service_line in [""Psychiatry""]","RL ECUH CHOWAN HOSPITAL - Psychiatry services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"outer_banks.all.inpatient","filter","hospital_name == ""RL OUTER BANKS HEALTH""","RL OUTER BANKS HEALTH - All inpatient encounters","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"outer_banks.all.service.lines.excl.neonate.and.ob","filter","hospital_name == ""RL OUTER BANKS HEALTH"" and service_line not in [""Pediatrics"", ""Neonatology"", ""NEWBORN"", ""Obstetrics/Gyn"", ""Obstetrics"", ""Gynecology"", ""Maternal-Fetal Med""]","RL OUTER BANKS HEALTH - All service lines excluding Neonate and OB","inpatient_cohort_gen.singlefile.allcohorts.ps1"
