name,param,value,description,cohort_file
med_center.cardio_or,filter,"facility_name == ""RL ECUH MEDICAL CENTER HOSPITAL"" and department_desc == ""Operating Room ECHI""",RL ECUH MEDICAL CENTER HOSPITAL - Cardiovascular Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
med_center.main_or,filter,"facility_name == ""RL ECUH MEDICAL CENTER HOSPITAL"" and department_desc == ""Operating Room""",RL ECUH MEDICAL CENTER HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
med_center.ld_or,filter,"facility_name == ""RL ECUH MEDICAL CENTER HOSPITAL"" and department_desc == ""Labor and Delivery""",RL ECUH MEDICAL CENTER HOSPITAL - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
chowan.cardio_or,filter,"facility_name == ""RL ECUH CHOWAN HOSPITAL"" and department_desc == ""Operating Room ECHI""",RL ECUH CHOWAN HOSPITAL - Cardiovascular Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
chowan.main_or,filter,"facility_name == ""RL ECUH CHOWAN HOSPITAL"" and department_desc == ""Operating Room""",RL ECUH CHOWAN HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
chowan.ld_or,filter,"facility_name == ""RL ECUH CHOWAN HOSPITAL"" and department_desc == ""Labor and Delivery""",RL ECUH CHOWAN HOSPITAL - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
outer_banks.cardio_or,filter,"facility_name == ""RL OUTER BANKS HEALTH"" and department_desc == ""Operating Room ECHI""",RL OUTER BANKS HEALTH - Cardiovascular Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
outer_banks.main_or,filter,"facility_name == ""RL OUTER BANKS HEALTH"" and department_desc == ""Operating Room""",RL OUTER BANKS HEALTH - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
outer_banks.ld_or,filter,"facility_name == ""RL OUTER BANKS HEALTH"" and department_desc == ""Labor and Delivery""",RL OUTER BANKS HEALTH - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
edgecombe.cardio_or,filter,"facility_name == ""RL ECUH EDGECOMBE HOSPITAL"" and department_desc == ""Operating Room ECHI""",RL ECUH EDGECOMBE HOSPITAL - Cardiovascular Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
edgecombe.main_or,filter,"facility_name == ""RL ECUH EDGECOMBE HOSPITAL"" and department_desc == ""Operating Room""",RL ECUH EDGECOMBE HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
edgecombe.ld_or,filter,"facility_name == ""RL ECUH EDGECOMBE HOSPITAL"" and department_desc == ""Labor and Delivery""",RL ECUH EDGECOMBE HOSPITAL - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
duplin.cardio_or,filter,"facility_name == ""RL ECUH DUPLIN HOSPITAL"" and department_desc == ""Operating Room ECHI""",RL ECUH DUPLIN HOSPITAL - Cardiovascular Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
duplin.main_or,filter,"facility_name == ""RL ECUH DUPLIN HOSPITAL"" and department_desc == ""Operating Room""",RL ECUH DUPLIN HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
duplin.ld_or,filter,"facility_name == ""RL ECUH DUPLIN HOSPITAL"" and department_desc == ""Labor and Delivery""",RL ECUH DUPLIN HOSPITAL - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
beaufort.cardio_or,filter,"facility_name == ""RL ECUH BEAUFORT HOSPITAL"" and department_desc == ""Operating Room ECHI""",RL ECUH BEAUFORT HOSPITAL - Cardiovascular Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
beaufort.main_or,filter,"facility_name == ""RL ECUH BEAUFORT HOSPITAL"" and department_desc == ""Operating Room""",RL ECUH BEAUFORT HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
beaufort.ld_or,filter,"facility_name == ""RL ECUH BEAUFORT HOSPITAL"" and department_desc == ""Labor and Delivery""",RL ECUH BEAUFORT HOSPITAL - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
north.cardio_or,filter,"facility_name == ""RL ECUH NORTH HOSPITAL"" and department_desc == ""Operating Room ECHI""",RL ECUH NORTH HOSPITAL - Cardiovascular Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
north.main_or,filter,"facility_name == ""RL ECUH NORTH HOSPITAL"" and department_desc == ""Operating Room""",RL ECUH NORTH HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
north.ld_or,filter,"facility_name == ""RL ECUH NORTH HOSPITAL"" and department_desc == ""Labor and Delivery""",RL ECUH NORTH HOSPITAL - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
roanoke_chowan.cardio_or,filter,"facility_name == ""RL ECUH ROANOKE CHOWAN HOSPITAL"" and department_desc == ""Operating Room ECHI""",RL ECUH ROANOKE CHOWAN HOSPITAL - Cardiovascular Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
roanoke_chowan.main_or,filter,"facility_name == ""RL ECUH ROANOKE CHOWAN HOSPITAL"" and department_desc == ""Operating Room""",RL ECUH ROANOKE CHOWAN HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
roanoke_chowan.ld_or,filter,"facility_name == ""RL ECUH ROANOKE CHOWAN HOSPITAL"" and department_desc == ""Labor and Delivery""",RL ECUH ROANOKE CHOWAN HOSPITAL - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
bertie.cardio_or,filter,"facility_name == ""RL ECUH BERTIE HOSPITAL"" and department_desc == ""Operating Room ECHI""",RL ECUH BERTIE HOSPITAL - Cardiovascular Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
bertie.main_or,filter,"facility_name == ""RL ECUH BERTIE HOSPITAL"" and department_desc == ""Operating Room""",RL ECUH BERTIE HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
bertie.ld_or,filter,"facility_name == ""RL ECUH BERTIE HOSPITAL"" and department_desc == ""Labor and Delivery""",RL ECUH BERTIE HOSPITAL - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
