name,param,value,description,cohort_file
med_center.cardio_or,filter,"facility_name == ""RL ECUH MEDICAL CENTER HOSPITAL"" and or_type == ""Cardiovascular OR""",RL ECUH MEDICAL CENTER HOSPITAL - Cardiovascular Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
med_center.main_or,filter,"facility_name == ""RL ECUH MEDICAL CENTER HOSPITAL"" and or_type == ""Main OR""",RL ECUH MEDICAL CENTER HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
med_center.ld_or,filter,"facility_name == ""RL ECUH MEDICAL CENTER HOSPITAL"" and or_type == ""Obstetrics, Labor, Delivery OR""",RL ECUH MEDICAL CENTER HOSPITAL - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
chowan.main_or,filter,"facility_name == ""RL ECUH CHOWAN HOSPITAL"" and or_type == ""Main OR""",RL ECUH CHOWAN HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
outer_banks.main_or,filter,"facility_name == ""RL OUTER BANKS HEALTH"" and or_type == ""Main OR""",RL OUTER BANKS HEALTH - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
outer_banks.ld_or,filter,"facility_name == ""RL OUTER BANKS HEALTH"" and or_type == ""Obstetrics, Labor, Delivery OR""",RL OUTER BANKS HEALTH - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
edgecombe.main_or,filter,"facility_name == ""RL ECUH EDGECOMBE HOSPITAL"" and or_type == ""Main OR""",RL ECUH EDGECOMBE HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
duplin.main_or,filter,"facility_name == ""RL ECUH DUPLIN HOSPITAL"" and or_type == ""Main OR""",RL ECUH DUPLIN HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
beaufort.main_or,filter,"facility_name == ""RL ECUH BEAUFORT HOSPITAL"" and or_type == ""Main OR""",RL ECUH BEAUFORT HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
beaufort.ld_or,filter,"facility_name == ""RL ECUH BEAUFORT HOSPITAL"" and or_type == ""Obstetrics, Labor, Delivery OR""",RL ECUH BEAUFORT HOSPITAL - Labor and delivery Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
north.main_or,filter,"facility_name == ""RL ECUH NORTH HOSPITAL"" and or_type == ""Main OR""",RL ECUH NORTH HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
roanoke_chowan.main_or,filter,"facility_name == ""RL ECUH ROANOKE CHOWAN HOSPITAL"" and or_type == ""Main OR""",RL ECUH ROANOKE CHOWAN HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
bertie.main_or,filter,"facility_name == ""RL ECUH BERTIE HOSPITAL"" and or_type == ""Main OR""",RL ECUH BERTIE HOSPITAL - Main Operating Room,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
surgicenter.surgicenter,filter,"facility_name == ""RL SURGICENTER"" and or_type == ""Surgicenter""",RL SURGICENTER - Surgicenter,ecu.surgery.combined.singlefile.rollup.cohorts.ps1
