week_start,project_id,project_name,task,type,total_hours
2020-08-30,10390254,20014_OmaArc_Admin OH,2.1-Training,Regular Pay,5
2020-08-30,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,4.5
2020-08-30,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,0
2020-08-30,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,0.5
2020-08-30,10459413,Ball TH Hosp Study,01.04 PDR 2 Report Product,Regular Pay,0
2020-08-30,10484665,LCC MedMH Needs Assessment,002-Labor,Regular Pay,30
2020-08-23,10390254,20014_OmaArc_Admin OH,2.1-Training,Regular Pay,5
2020-08-23,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,10
2020-08-23,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,2
2020-08-23,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,0
2020-08-23,10459413,Ball TH Hosp Study,01.04 PDR 2 Report Product,Regular Pay,0
2020-08-23,10484665,LCC MedMH Needs Assessment,002-Labor,Regular Pay,23
2020-08-16,10390254,20014_OmaArc_Admin OH,2.1-Training,Regular Pay,4.5
2020-08-16,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,4.5
2020-08-16,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,12
2020-08-16,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,1
2020-08-16,10459413,Ball TH Hosp Study,01.04 PDR 2 Report Product,Regular Pay,0
2020-08-16,10484665,LCC MedMH Needs Assessment,002-Labor,Regular Pay,18
2020-08-09,10390254,20014_OmaArc_Admin OH,2.1-Training,Regular Pay,0
2020-08-09,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,6.5
2020-08-09,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,14
2020-08-09,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,0.5
2020-08-09,10459413,Ball TH Hosp Study,01.04 PDR 2 Report Product,Regular Pay,0
2020-08-09,10484665,LCC MedMH Needs Assessment,002-Labor,Regular Pay,11
2020-08-09,10012166,OH_20014_ARC Omaha NE,001-Dept 00001 Overhead,Float Holiday,8
2020-05-24,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,0.5
2020-05-24,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,12
2020-05-24,10464221,Riverside ED Masterplanning,01.01-Pre-Design,Regular Pay,18.5
2020-05-24,10012166,OH_20014_ARC Omaha NE,001-Dept 00001 Overhead,Holiday,8
